target_group,text
lgbtq+ folks,"transphobia is not a phobia, it is a valid and rational fear of a group that is dangerous and should be avoided at all costs"
chinese folks," How can you tell if two Asians have been in the room?
- The room smells like wang.
-----
T-shirts
-"
chinese folks,why did nobody told me asians are bad drivers ? i tried to install one inside my computer but i think he dead now .
middle eastern folks,"i wish i was in iraq right now, i would shoot all of them"
middle eastern folks,there is no reason to be afraid of a culture that you know nothing about.
latino/hispanic folks,many young men because of their upbringing do not see anything negative in joining gangs
native american/indigenous folks," you know what they say: you can take the man out of the tribe, but you can't take the tribalism out of the man"
lgbtq+ folks,there is no scientific evidence that children raised by gay parents are harmed or disadvantaged in any way.
black/african-american folks,african american community views carry more weight then those of strangers
lgbtq+ folks,Where do lesbians go on a first date? Anywhere they can laugh at women together.
middle eastern folks,"arabs are just like everyone else, they just have a different culture"
mexican folks,what was the last thing diego 's mother said to him before getting shot by the border patrol go diego go
jewish folks,"A priest &amp; a rabbi walk through a forest where they find a boy strapped to a tree &amp; unconscious. The priest says, ""Should we screw him?""

To which the rabbi replies, ""Out of what?"
folks with physical disabilities,just being disabled is enough to give you a special parking spot
folks with mental disabilities," After all, no one wants to admit that their son/daughter is disabled.
"
native american/indigenous folks,"I don't know why the Natives are so mad at us... I mean, we were so nice to them. We even gave them blankets!"
asian folks,"it's not just the physical violence, its also the verbal violence, the verbal abuse, the racial slurs, the racial jokes, the stereotypes"
folks with physical disabilities,youre so brave for being able to get out of bed in the morning and go to work!
women,"when a wife tells you to do something, just do it, she knows what she is talking about."
folks with physical disabilities,"if you have a disability, you must have done something to deserve it"
women,"women don't need to be in the military, they are too weak to carry the big guns and too emotional to make good decisions in battle"
jewish folks,jews are the only people in history who have been told they are not allowed to have a country of their own
black/african-american folks,"this is not a new phenomenon, it has been going on since the beginning of the slave trade and it has been going on for hundreds of years"
chinese folks,the only good thing about the number 4 is that it is the number after 3
lgbtq+ folks,"some women are more masculine in appearance, some are more feminine, some are in between, and some dont fit any of those molds."
folks with physical disabilities,there is no cure for spinal muscular atrophy (SMA)
women,"women's rights have come a long way, but there is still much to be done"
middle eastern folks," arabs have funny looking govts, it's easier to topple arab/muslim governments than other govts"
chinese folks,Why do you listen to 'Chinese music?' You don't even understand and they all look the same anyways.
mexican folks,"What's the difference between Tea and Mexicans? One was deported and the other imported, both purposefully."
black/african-american folks,"in order to keep the peace, it is necessary for the white man to be in charge   "
women,she is probably a lesbo
native american/indigenous folks," if you want to experience real life in communist china you can come to china
- china is developing rapidly because of the huge population."
latino/hispanic folks," latino art is a lot less influenced by western tradition than american ""art"" and has a lot of unique elements to it"
black/african-american folks,"this is not to say that there is no such thing as a bad apple, but there is a difference between a bad apple and a rotten orchard"
latino/hispanic folks," Back in the day, folks wanted to go to australia because wages there were so high they could buy a house by working a few months."
folks with mental disabilities,there is no reason why we should help those who are not able to help themselves
latino/hispanic folks,people who are racist are usually afraid of things they don't know about
black folks / african-americans,Black people fare worse in almost every area included in the index . - Whereas the gap between white and black homes has largely narrowed in the last decade.
jewish folks," While some members of congress take principled positions, Obama, anything but principled, is forced to learn that leading from behind is a losing strategy."
black folks / african-americans,this is the third annual black women's digital media conference brought to you by the black women's digital network- this year we're focused on action.
folks with mental disabilities,Dj Khaled is retarded
mexican folks,there is this mexican at my work who dosent even speak english. he dosent even know the words yes or no
jewish folks,A Jew walks in to a bar And then the metal door closes behind him
folks with mental disabilities,Dj Khaled is retarded
native american folks,native americans are comparatively poorer than other groups in the united states and are often excluded from the limited economic opportunities available to them
muslim folks,All I want for Christmas is an absolute elimination of Islam in the western world.
muslim folks,Look for more famous people who have been indictment watch out OSAMABAMAVICH we are on to your TREASON Muslim brotherhood
native american/indigenous folks," the following three viewers from oklahoma did not want our original written questions to be asked of them, and thus they wrote their own questions for themselves."
mexican folks,"i can't wait to go to the beach with you guys, i know you will show me all of the best places to swim and surf"
black folks / african-americans,The problem in the relationship between black and white gay men is the notion that race trumps sexuality and that race is the defining characteristic of our community.
asian folks,"there is a stereotype that Asians are good at math and science, but that is not the only thing we are good at."
black folks / african-americans,&#8220;@I_DontKIAra: done w. All these fuck niggas &#128554;&#128514; snip snip hoe &#9996;&#65039;&#9986;&#65039;&#8221; stfu
muslim folks," people were killed in the U.S. because of their religion, and muslims are scared...they feel like they need to hide"
muslim folks,People who have not done anything wrong are being grouped with the terrorists.
asian folks,"it's not just a problem in the united states, its a problem all over the world, and we all have to stand up against it"
asian folks," a ""chinese"" restaurant opens up in the area, but the workers and the clientele are mostly white"
native american folks,"in 1887, congress passed a law that made it a crime to sell or distribute alcohol on reservations"
native american folks,indians experienced extreme prejudice from the europeans that came to america
native american folks,even though independence did not include natives there was still some opportunity in the new world
